date,總統辯論,聯考,女性執政,交換禮物,民調,女性執政,多元成家,選舉,黨產,兩岸統一,八卦,CCR,ISIS,靠北公司,頂新,薪水,韓國旅遊,馬英九,國軍,陳建仁,柯P,法官,選舉,仇女,男性,林鳳營,滅頂,柯文哲,經濟,大學,網友文,朱立倫,牛奶,肥宅,台南,閃靈,問卦,反中,蔡正元,王如玄,邱毅,秒買秒退,道歉,越南,總統,女友,正妹,演唱會,投票,聖誕節
20160102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151231,2,4,3,3,3,1,0,3,2,0,80,1,2,3,6,1,3,1,4,5,8,2,3,2,1,1,2,6,7,5,4,0,0,8,2,5,6,5,3,1,1,2,0,4,4,2,2,3,3,5
20151230,3,2,4,2,3,3,0,2,0,2,17,2,1,1,0,1,0,1,2,1,2,1,0,3,1,0,0,1,5,2,3,1,0,0,1,1,1,1,0,0,0,3,1,2,6,1,1,0,1,0
20151229,16,2,90,10,8,23,8,26,10,8,171,6,6,8,17,6,4,15,10,26,14,14,15,6,6,7,9,11,15,7,39,16,22,21,7,20,26,20,19,25,12,10,12,7,24,10,26,14,8,1
20151228,16,12,124,10,26,32,27,42,12,27,249,12,18,13,35,19,5,71,17,24,36,21,32,21,16,12,6,19,23,17,25,39,18,27,13,40,27,16,34,39,47,10,30,20,29,14,20,18,12,17
